_id,Site #,Site Name,Address,Begin Date,End Date,B,L,S,Hot/Cold,Ovens,Coolers,Days
39,353,New Grace Baptist Church,"566 Brushton Avenue, 15208",6/15/2015,2015-08-14T00:00:00,25,25,,Hot,no,yes,M - F
40,370,Beechview Spray Park,1200 Orangewood Avenue,6/15/2015,2015-08-14T00:00:00,,25,25,Hot,yes,yes,M - F
41,374,Troy Hill Spray Park,1200 Goettman Street,6/15/2015,2015-08-14T00:00:00,,25,25,Hot,yes,yes,M -F
42,377,Child of the King,302 W. North Avenue,6/15/2015,2015-08-14T00:00:00,25,25,,Hot,yes,yes,M - F
43,378,Thelma Lovette YMCA,2114 Center Avenue,6/15/2015,2015-08-14T00:00:00,75,75,,Hot,yes,yes,M - F
44,2429,Garfield Commons,"242 Fern Street, 15224",6/16/2015,2015-08-15T00:00:00,25,25,,Hot,yes,no,M - Th
45,,Hamilton - Larimer BJWL,6234 Auburn Street,6/15/2015,2015-08-14T00:00:00,25,25,,Hot,no,yes,M - F
46,,Melon Park Spray Park,5th Ave & Beechwood Blvd,6/15/2015,2015-08-14T00:00:00,,25,,Cold,no,yes,M - F
47,,Schenley Pavilion (pool),"1 Overlook Dr, 15213",6/15/2015,2015-08-14T00:00:00,,25,,Cold,no,yes,M - F
48,,Jack Stack Pool,600 Brighton Woods Rd,6/15/2015,2015-08-14T00:00:00,,25,,Cold,no,yes,M - F
49,27,Elderado Center,900 Delmont Street,6/22/2015,2015-08-14T00:00:00,250,250,,Hot,yes,yes,M- F
50,29,Limbach Center,816 Tripoli Street,6/22/2015,2015-08-07T00:00:00,,25,25,Hot,yes,yes,M - Th
51,139,Valley View Presbyterian,604 N. Aiken Avenue,6/22/2015,2015-07-23T00:00:00,30,30,,Hot,no,no,M-Th
52,168,The Open Door,12 Stratmore St,6/22/2015,2015-07-31T00:00:00,50,50,,Hot,no,no,M - F
53,371,Project Destiny,3737 Brighton Road,6/22/2015,2015-07-31T00:00:00,35,35,,Hot,no,no,M - F
54,382,Project Destiny 2,2200 California Avenue,6/22/2015,2015-08-07T00:00:00,,25,25,Hot,no,no,M - F
55,64,Salvation Army- Westside,1821 Broadhead Road,6/29/2015,2015-07-31T00:00:00,,30,30,Hot,No,No,M - F
56,84,Bethany House Ministry,1500 Chicago Street,6/29/2015,2015-08-13T00:00:00,25,25,,Hot,yes,yes,M-Th
57,107,Morningside C.O.G.I.C.,5173 Dearborn Street,6/29/2015,2015-08-07T00:00:00,25,25,,Cold,no,yes,M - F
58,120,Grace Memorial Church,1000 Bryn Mawr Road,6/29/2015,2015-08-07T00:00:00,,75,75,Hot,no,no,M - F
59,383,Salvation Army- North Side,100 W North Ave,6/29/2015,2015-08-14T00:00:00,25,25,,Hot,no,yes,M - F
60,,Schenley Heights Comm. Dev Center,3171 Ewart Dr,6/29/2015,2015-08-07T00:00:00,,30,30,Cold,no,yes,M - F
61,124,Wesley Center,2701 Centre Avenue,7/1/2015,2015-08-06T00:00:00,60,60,,Hot,no,yes,M-Th
62,273,White Lily Baptist Church,3621 Chartiers Ave,7/1/2015,2015-08-13T00:00:00,,25,,Hot,yes,no,M - Th
63,,Jeron X Grayson Center,1852 Enoch St,7/1/2015,2015-08-06T00:00:00,25,25,,Hot,no,yes,M- F
64,16,Homewood Renaissance Assoc.,7130 Frankstown Ave,7/6/2015,2015-08-14T00:00:00,25,25,,Hot,no,Yes,M - F
65,40,Slavation Army - Homewood,8020 Frankstown Ave,7/6/2015,2015-08-14T00:00:00,,25,,Hot,yes,yes,M - F
66,156,Brothers & Sisters Emerging,5315 Hillcrest St,7/6/2015,2015-08-07T00:00:00,,25,25,Cold,no,no,M - F
67,229,Abiding Faith Ministry,3001 Bergman St,7/6/2015,2015-08-14T00:00:00,,25,,Cold,no,yes,M - F
68,,Steel City Squash,140 Alequippa St./ Trees Hall,7/6/2015,2015-08-07T00:00:00,,25,,Cold,no,yes,M - F
69,379,AP Summer Academy @ CMU,5000 Forbes Ave,7/13/2015,2015-07-13T00:00:00,50,50,,Cold,no,yes,M - F
70,,"","","",,,,,"","","",""
71,,"","","",,,,,"","","",""
72,,"","","",,,,,"","","",""
73,,"","","",,,,,"","","",""
74,,"","","",,,,,"","","",""
75,,"","","",,,,,"","","",""
76,,"","","",,,,,"","","",""
77,,"","","",,,,,"","","",""
78,,"","","",,,,,"","","",""
79,,"","","",,,,,"","","",""
80,,"","","",,,,,"","","",""
81,,"","","",,,,,"","","",""
82,,"","","",,,,,"","","",""
83,,"","","",,,,,"","","",""
84,,"","","",,,,,"","","",""
85,,"","","",,,,,"","","",""
86,,"","","",,,,,"","","",""
87,,"","","",,,,,"","","",""
88,,"","","",,,,,"","","",""
89,,"","","",,,,,"","","",""
90,,"","","",,,,,"","","",""
91,,"","","",,,,,"","","",""
92,,"","","",,,,,"","","",""
93,,"","","",,,,,"","","",""
94,,"","","",,,,,"","","",""
95,,"","","",,,,,"","","",""
96,,"","","",,,,,"","","",""
97,,"","","",,,,,"","","",""
98,,"","","",,,,,"","","",""
99,,"","","",,,,,"","","",""
100,,"","","",,,,,"","","",""
101,,"","","",,,,,"","","",""
102,,"","","",,,,,"","","",""
103,,"","","",,,,,"","","",""
104,,"","","",,,,,"","","",""
105,,"","","",,,,,"","","",""
106,,"","","",,,,,"","","",""
107,,"","","",,,,,"","","",""
108,,"","","",,,,,"","","",""
109,,"","","",,,,,"","","",""
110,,"","","",,,,,"","","",""
111,,"","","",,,,,"","","",""
112,,"","","",,,,,"","","",""
113,,"","","",,,,,"","","",""
114,,"","","",,,,,"","","",""
115,,"","","",,,,,"","","",""
116,,"","","",,,,,"","","",""
117,,"","","",,,,,"","","",""
118,,"","","",,,,,"","","",""
119,,"","","",,,,,"","","",""
120,,"","","",,,,,"","","",""
121,,"","","",,,,,"","","",""
122,,"","","",,,,,"","","",""
123,,"","","",,,,,"","","",""
124,,"","","",,,,,"","","",""
125,,"","","",,,,,"","","",""
126,,"","","",,,,,"","","",""
127,,"","","",,,,,"","","",""
128,,"","","",,,,,"","","",""
129,,"","","",,,,,"","","",""
130,,"","","",,,,,"","","",""
131,,"","","",,,,,"","","",""
132,,"","","",,,,,"","","",""
133,,"","","",,,,,"","","",""
134,,"","","",,,,,"","","",""
135,,"","","",,,,,"","","",""
136,,"","","",,,,,"","","",""
137,,"","","",,,,,"","","",""
138,,"","","",,,,,"","","",""
139,,"","","",,,,,"","","",""
140,,"","","",,,,,"","","",""
141,,"","","",,,,,"","","",""
142,,"","","",,,,,"","","",""
143,,"","","",,,,,"","","",""
144,,"","","",,,,,"","","",""
145,,"","","",,,,,"","","",""
146,,"","","",,,,,"","","",""
147,,"","","",,,,,"","","",""
148,,"","","",,,,,"","","",""
149,,"","","",,,,,"","","",""
150,,"","","",,,,,"","","",""
151,,"","","",,,,,"","","",""
152,,"","","",,,,,"","","",""
153,,"","","",,,,,"","","",""
154,,"","","",,,,,"","","",""
155,,"","","",,,,,"","","",""
156,,"","","",,,,,"","","",""
157,,"","","",,,,,"","","",""
158,,"","","",,,,,"","","",""
159,,"","","",,,,,"","","",""
160,,"","","",,,,,"","","",""
161,,"","","",,,,,"","","",""
162,,"","","",,,,,"","","",""
163,,"","","",,,,,"","","",""
164,,"","","",,,,,"","","",""
165,,"","","",,,,,"","","",""
166,,"","","",,,,,"","","",""
167,,"","","",,,,,"","","",""
168,,"","","",,,,,"","","",""
169,,"","","",,,,,"","","",""
170,,"","","",,,,,"","","",""
171,,"","","",,,,,"","","",""
172,,"","","",,,,,"","","",""
173,,"","","",,,,,"","","",""
174,,"","","",,,,,"","","",""
175,,"","","",,,,,"","","",""
176,,"","","",,,,,"","","",""
177,,"","","",,,,,"","","",""
178,,"","","",,,,,"","","",""
179,,"","","",,,,,"","","",""
180,,"","","",,,,,"","","",""
181,,"","","",,,,,"","","",""
182,,"","","",,,,,"","","",""
183,,"","","",,,,,"","","",""
184,,"","","",,,,,"","","",""
185,,"","","",,,,,"","","",""
186,,"","","",,,,,"","","",""
187,,"","","",,,,,"","","",""
188,,"","","",,,,,"","","",""
189,,"","","",,,,,"","","",""
190,,"","","",,,,,"","","",""
191,,"","","",,,,,"","","",""
192,,"","","",,,,,"","","",""
193,,"","","",,,,,"","","",""
194,,"","","",,,,,"","","",""
195,,"","","",,,,,"","","",""
196,,"","","",,,,,"","","",""
197,,"","","",,,,,"","","",""
198,,"","","",,,,,"","","",""
199,,"","","",,,,,"","","",""
200,,"","","",,,,,"","","",""
201,,"","","",,,,,"","","",""
202,,"","","",,,,,"","","",""
203,,"","","",,,,,"","","",""
204,,"","","",,,,,"","","",""
205,,"","","",,,,,"","","",""
206,,"","","",,,,,"","","",""
207,,"","","",,,,,"","","",""
208,,"","","",,,,,"","","",""
209,,"","","",,,,,"","","",""
210,,"","","",,,,,"","","",""
211,,"","","",,,,,"","","",""
212,,"","","",,,,,"","","",""
213,,"","","",,,,,"","","",""
214,,"","","",,,,,"","","",""
215,,"","","",,,,,"","","",""
216,,"","","",,,,,"","","",""
217,,"","","",,,,,"","","",""
218,,"","","",,,,,"","","",""
219,,"","","",,,,,"","","",""
220,,"","","",,,,,"","","",""
221,,"","","",,,,,"","","",""
222,,"","","",,,,,"","","",""
223,,"","","",,,,,"","","",""
224,,"","","",,,,,"","","",""
225,,"","","",,,,,"","","",""
226,,"","","",,,,,"","","",""
227,,"","","",,,,,"","","",""
228,,"","","",,,,,"","","",""
229,,"","","",,,,,"","","",""
230,,"","","",,,,,"","","",""
231,,"","","",,,,,"","","",""
232,,"","","",,,,,"","","",""
233,,"","","",,,,,"","","",""
234,,"","","",,,,,"","","",""
235,,"","","",,,,,"","","",""
236,,"","","",,,,,"","","",""
237,,"","","",,,,,"","","",""
238,,"","","",,,,,"","","",""
239,,"","","",,,,,"","","",""
240,,"","","",,,,,"","","",""
241,,"","","",,,,,"","","",""
242,,"","","",,,,,"","","",""
243,,"","","",,,,,"","","",""
244,,"","","",,,,,"","","",""
245,,"","","",,,,,"","","",""
246,,"","","",,,,,"","","",""
247,,"","","",,,,,"","","",""
248,,"","","",,,,,"","","",""
249,,"","","",,,,,"","","",""
250,,"","","",,,,,"","","",""
251,,"","","",,,,,"","","",""
252,,"","","",,,,,"","","",""
253,,"","","",,,,,"","","",""
254,,"","","",,,,,"","","",""
255,,"","","",,,,,"","","",""
256,,"","","",,,,,"","","",""
257,,"","","",,,,,"","","",""
258,,"","","",,,,,"","","",""
259,,"","","",,,,,"","","",""
260,,"","","",,,,,"","","",""
261,,"","","",,,,,"","","",""
262,,"","","",,,,,"","","",""
263,,"","","",,,,,"","","",""
264,,"","","",,,,,"","","",""
265,,"","","",,,,,"","","",""
266,,"","","",,,,,"","","",""
267,,"","","",,,,,"","","",""
268,,"","","",,,,,"","","",""
269,,"","","",,,,,"","","",""
270,,"","","",,,,,"","","",""
271,,"","","",,,,,"","","",""
272,,"","","",,,,,"","","",""
273,,"","","",,,,,"","","",""
274,,"","","",,,,,"","","",""
275,,"","","",,,,,"","","",""
276,,"","","",,,,,"","","",""
277,,"","","",,,,,"","","",""
278,,"","","",,,,,"","","",""
279,,"","","",,,,,"","","",""
280,,"","","",,,,,"","","",""
281,,"","","",,,,,"","","",""
282,,"","","",,,,,"","","",""
283,,"","","",,,,,"","","",""
284,,"","","",,,,,"","","",""
285,,"","","",,,,,"","","",""
286,,"","","",,,,,"","","",""
287,,"","","",,,,,"","","",""
288,,"","","",,,,,"","","",""
289,,"","","",,,,,"","","",""
290,,"","","",,,,,"","","",""
291,,"","","",,,,,"","","",""
292,,"","","",,,,,"","","",""
293,,"","","",,,,,"","","",""
294,,"","","",,,,,"","","",""
295,,"","","",,,,,"","","",""
296,,"","","",,,,,"","","",""
297,,"","","",,,,,"","","",""
298,,"","","",,,,,"","","",""
299,,"","","",,,,,"","","",""
300,,"","","",,,,,"","","",""
301,,"","","",,,,,"","","",""
302,,"","","",,,,,"","","",""
303,,"","","",,,,,"","","",""
304,,"","","",,,,,"","","",""
305,,"","","",,,,,"","","",""
306,,"","","",,,,,"","","",""
307,,"","","",,,,,"","","",""
308,,"","","",,,,,"","","",""
309,,"","","",,,,,"","","",""
310,,"","","",,,,,"","","",""
311,,"","","",,,,,"","","",""
312,,"","","",,,,,"","","",""
313,,"","","",,,,,"","","",""
314,,"","","",,,,,"","","",""
315,,"","","",,,,,"","","",""
316,,"","","",,,,,"","","",""
317,,"","","",,,,,"","","",""
318,,"","","",,,,,"","","",""
319,,"","","",,,,,"","","",""
320,,"","","",,,,,"","","",""
321,,"","","",,,,,"","","",""
322,,"","","",,,,,"","","",""
323,,"","","",,,,,"","","",""
324,,"","","",,,,,"","","",""
325,,"","","",,,,,"","","",""
326,,"","","",,,,,"","","",""
327,,"","","",,,,,"","","",""
328,,"","","",,,,,"","","",""
329,,"","","",,,,,"","","",""
330,,"","","",,,,,"","","",""
331,,"","","",,,,,"","","",""
332,,"","","",,,,,"","","",""
333,,"","","",,,,,"","","",""
334,,"","","",,,,,"","","",""
335,,"","","",,,,,"","","",""
336,,"","","",,,,,"","","",""
337,,"","","",,,,,"","","",""
338,,"","","",,,,,"","","",""
339,,"","","",,,,,"","","",""
340,,"","","",,,,,"","","",""
341,,"","","",,,,,"","","",""
342,,"","","",,,,,"","","",""
343,,"","","",,,,,"","","",""
344,,"","","",,,,,"","","",""
345,,"","","",,,,,"","","",""
346,,"","","",,,,,"","","",""
347,,"","","",,,,,"","","",""
348,,"","","",,,,,"","","",""
349,,"","","",,,,,"","","",""
350,,"","","",,,,,"","","",""
351,,"","","",,,,,"","","",""
352,,"","","",,,,,"","","",""
353,,"","","",,,,,"","","",""
354,,"","","",,,,,"","","",""
355,,"","","",,,,,"","","",""
356,,"","","",,,,,"","","",""
357,,"","","",,,,,"","","",""
358,,"","","",,,,,"","","",""
359,,"","","",,,,,"","","",""
360,,"","","",,,,,"","","",""
361,,"","","",,,,,"","","",""
362,,"","","",,,,,"","","",""
363,,"","","",,,,,"","","",""
364,,"","","",,,,,"","","",""
365,,"","","",,,,,"","","",""
366,,"","","",,,,,"","","",""
367,,"","","",,,,,"","","",""
368,,"","","",,,,,"","","",""
369,,"","","",,,,,"","","",""
370,,"","","",,,,,"","","",""
371,,"","","",,,,,"","","",""
372,,"","","",,,,,"","","",""
373,,"","","",,,,,"","","",""
374,,"","","",,,,,"","","",""
375,,"","","",,,,,"","","",""
376,,"","","",,,,,"","","",""
377,,"","","",,,,,"","","",""
378,,"","","",,,,,"","","",""
379,,"","","",,,,,"","","",""
380,,"","","",,,,,"","","",""
381,,"","","",,,,,"","","",""
382,,"","","",,,,,"","","",""
383,,"","","",,,,,"","","",""
384,,"","","",,,,,"","","",""
385,,"","","",,,,,"","","",""
386,,"","","",,,,,"","","",""
387,,"","","",,,,,"","","",""
388,,"","","",,,,,"","","",""
389,,"","","",,,,,"","","",""
390,,"","","",,,,,"","","",""
391,,"","","",,,,,"","","",""
392,,"","","",,,,,"","","",""
393,,"","","",,,,,"","","",""
394,,"","","",,,,,"","","",""
395,,"","","",,,,,"","","",""
396,,"","","",,,,,"","","",""
397,,"","","",,,,,"","","",""
398,,"","","",,,,,"","","",""
399,,"","","",,,,,"","","",""
400,,"","","",,,,,"","","",""
401,,"","","",,,,,"","","",""
402,,"","","",,,,,"","","",""
403,,"","","",,,,,"","","",""
404,,"","","",,,,,"","","",""
405,,"","","",,,,,"","","",""
406,,"","","",,,,,"","","",""
407,,"","","",,,,,"","","",""
408,,"","","",,,,,"","","",""
409,,"","","",,,,,"","","",""
410,,"","","",,,,,"","","",""
411,,"","","",,,,,"","","",""
412,,"","","",,,,,"","","",""
413,,"","","",,,,,"","","",""
414,,"","","",,,,,"","","",""
415,,"","","",,,,,"","","",""
416,,"","","",,,,,"","","",""
417,,"","","",,,,,"","","",""
418,,"","","",,,,,"","","",""
419,,"","","",,,,,"","","",""
420,,"","","",,,,,"","","",""
421,,"","","",,,,,"","","",""
422,,"","","",,,,,"","","",""
423,,"","","",,,,,"","","",""
424,,"","","",,,,,"","","",""
425,,"","","",,,,,"","","",""
426,,"","","",,,,,"","","",""
427,,"","","",,,,,"","","",""
428,,"","","",,,,,"","","",""
429,,"","","",,,,,"","","",""
430,,"","","",,,,,"","","",""
431,,"","","",,,,,"","","",""
432,,"","","",,,,,"","","",""
433,,"","","",,,,,"","","",""
434,,"","","",,,,,"","","",""
435,,"","","",,,,,"","","",""
436,,"","","",,,,,"","","",""
437,,"","","",,,,,"","","",""
438,,"","","",,,,,"","","",""
439,,"","","",,,,,"","","",""
440,,"","","",,,,,"","","",""
441,,"","","",,,,,"","","",""
442,,"","","",,,,,"","","",""
443,,"","","",,,,,"","","",""
444,,"","","",,,,,"","","",""
445,,"","","",,,,,"","","",""
446,,"","","",,,,,"","","",""
447,,"","","",,,,,"","","",""
448,,"","","",,,,,"","","",""
449,,"","","",,,,,"","","",""
450,,"","","",,,,,"","","",""
451,,"","","",,,,,"","","",""
452,,"","","",,,,,"","","",""
453,,"","","",,,,,"","","",""
454,,"","","",,,,,"","","",""
455,,"","","",,,,,"","","",""
456,,"","","",,,,,"","","",""
457,,"","","",,,,,"","","",""
458,,"","","",,,,,"","","",""
459,,"","","",,,,,"","","",""
460,,"","","",,,,,"","","",""
461,,"","","",,,,,"","","",""
462,,"","","",,,,,"","","",""
463,,"","","",,,,,"","","",""
464,,"","","",,,,,"","","",""
465,,"","","",,,,,"","","",""
466,,"","","",,,,,"","","",""
467,,"","","",,,,,"","","",""
468,,"","","",,,,,"","","",""
469,,"","","",,,,,"","","",""
470,,"","","",,,,,"","","",""
471,,"","","",,,,,"","","",""
472,,"","","",,,,,"","","",""
473,,"","","",,,,,"","","",""
474,,"","","",,,,,"","","",""
475,,"","","",,,,,"","","",""
476,,"","","",,,,,"","","",""
477,,"","","",,,,,"","","",""
478,,"","","",,,,,"","","",""
479,,"","","",,,,,"","","",""
480,,"","","",,,,,"","","",""
481,,"","","",,,,,"","","",""
482,,"","","",,,,,"","","",""
483,,"","","",,,,,"","","",""
484,,"","","",,,,,"","","",""
485,,"","","",,,,,"","","",""
486,,"","","",,,,,"","","",""
487,,"","","",,,,,"","","",""
488,,"","","",,,,,"","","",""
489,,"","","",,,,,"","","",""
490,,"","","",,,,,"","","",""
491,,"","","",,,,,"","","",""
492,,"","","",,,,,"","","",""
493,,"","","",,,,,"","","",""
494,,"","","",,,,,"","","",""
495,,"","","",,,,,"","","",""
496,,"","","",,,,,"","","",""
497,,"","","",,,,,"","","",""
498,,"","","",,,,,"","","",""
499,,"","","",,,,,"","","",""
500,,"","","",,,,,"","","",""
501,,"","","",,,,,"","","",""
502,,"","","",,,,,"","","",""
503,,"","","",,,,,"","","",""
504,,"","","",,,,,"","","",""
505,,"","","",,,,,"","","",""
506,,"","","",,,,,"","","",""
507,,"","","",,,,,"","","",""
508,,"","","",,,,,"","","",""
509,,"","","",,,,,"","","",""
510,,"","","",,,,,"","","",""
511,,"","","",,,,,"","","",""
512,,"","","",,,,,"","","",""
513,,"","","",,,,,"","","",""
514,,"","","",,,,,"","","",""
515,,"","","",,,,,"","","",""
516,,"","","",,,,,"","","",""
517,,"","","",,,,,"","","",""
518,,"","","",,,,,"","","",""
519,,"","","",,,,,"","","",""
520,,"","","",,,,,"","","",""
521,,"","","",,,,,"","","",""
522,,"","","",,,,,"","","",""
523,,"","","",,,,,"","","",""
524,,"","","",,,,,"","","",""
525,,"","","",,,,,"","","",""
526,,"","","",,,,,"","","",""
527,,"","","",,,,,"","","",""
528,,"","","",,,,,"","","",""
529,,"","","",,,,,"","","",""
530,,"","","",,,,,"","","",""
531,,"","","",,,,,"","","",""
532,,"","","",,,,,"","","",""
533,,"","","",,,,,"","","",""
534,,"","","",,,,,"","","",""
535,,"","","",,,,,"","","",""
536,,"","","",,,,,"","","",""
537,,"","","",,,,,"","","",""
538,,"","","",,,,,"","","",""
539,,"","","",,,,,"","","",""
540,,"","","",,,,,"","","",""
541,,"","","",,,,,"","","",""
542,,"","","",,,,,"","","",""
543,,"","","",,,,,"","","",""
544,,"","","",,,,,"","","",""
545,,"","","",,,,,"","","",""
546,,"","","",,,,,"","","",""
547,,"","","",,,,,"","","",""
548,,"","","",,,,,"","","",""
549,,"","","",,,,,"","","",""
550,,"","","",,,,,"","","",""
551,,"","","",,,,,"","","",""
552,,"","","",,,,,"","","",""
553,,"","","",,,,,"","","",""
554,,"","","",,,,,"","","",""
555,,"","","",,,,,"","","",""
556,,"","","",,,,,"","","",""
557,,"","","",,,,,"","","",""
558,,"","","",,,,,"","","",""
559,,"","","",,,,,"","","",""
560,,"","","",,,,,"","","",""
561,,"","","",,,,,"","","",""
562,,"","","",,,,,"","","",""
563,,"","","",,,,,"","","",""
564,,"","","",,,,,"","","",""
565,,"","","",,,,,"","","",""
566,,"","","",,,,,"","","",""
567,,"","","",,,,,"","","",""
568,,"","","",,,,,"","","",""
569,,"","","",,,,,"","","",""
570,,"","","",,,,,"","","",""
571,,"","","",,,,,"","","",""
572,,"","","",,,,,"","","",""
573,,"","","",,,,,"","","",""
574,,"","","",,,,,"","","",""
575,,"","","",,,,,"","","",""
576,,"","","",,,,,"","","",""
577,,"","","",,,,,"","","",""
578,,"","","",,,,,"","","",""
579,,"","","",,,,,"","","",""
580,,"","","",,,,,"","","",""
581,,"","","",,,,,"","","",""
582,,"","","",,,,,"","","",""
583,,"","","",,,,,"","","",""
584,,"","","",,,,,"","","",""
585,,"","","",,,,,"","","",""
586,,"","","",,,,,"","","",""
587,,"","","",,,,,"","","",""
588,,"","","",,,,,"","","",""
589,,"","","",,,,,"","","",""
590,,"","","",,,,,"","","",""
591,,"","","",,,,,"","","",""
592,,"","","",,,,,"","","",""
593,,"","","",,,,,"","","",""
594,,"","","",,,,,"","","",""
595,,"","","",,,,,"","","",""
596,,"","","",,,,,"","","",""
597,,"","","",,,,,"","","",""
598,,"","","",,,,,"","","",""
599,,"","","",,,,,"","","",""
600,,"","","",,,,,"","","",""
601,,"","","",,,,,"","","",""
602,,"","","",,,,,"","","",""
603,,"","","",,,,,"","","",""
604,,"","","",,,,,"","","",""
605,,"","","",,,,,"","","",""
606,,"","","",,,,,"","","",""
607,,"","","",,,,,"","","",""
608,,"","","",,,,,"","","",""
609,,"","","",,,,,"","","",""
610,,"","","",,,,,"","","",""
611,,"","","",,,,,"","","",""
612,,"","","",,,,,"","","",""
613,,"","","",,,,,"","","",""
614,,"","","",,,,,"","","",""
615,,"","","",,,,,"","","",""
616,,"","","",,,,,"","","",""
617,,"","","",,,,,"","","",""
618,,"","","",,,,,"","","",""
619,,"","","",,,,,"","","",""
620,,"","","",,,,,"","","",""
621,,"","","",,,,,"","","",""
622,,"","","",,,,,"","","",""
623,,"","","",,,,,"","","",""
624,,"","","",,,,,"","","",""
625,,"","","",,,,,"","","",""
